Course Code,Course Name,Course Summary
COMP1010,The Art of Computing,"This course aims to provide a grounding in computational thinking for anyone who wants one. It assumes no previous programming background, but does assume that all incoming students have used digital devices, such as tablets and smart phones, for a range of tasks e.G. Social networking, reading, essay writing, etc.. The course will use Python as the programming medium and use real world examples from a variety of domains to motivate understanding."
COMP1511,Programming Fundamentals,"From recent innovations in AI like selfdriving cars to humanoid robotics navigating complex environments, leapfrogs in battery technology to sequencing the human genome the world is benefiting and evolving thanks to computer systems. At the core of all these systems are computers executing instructions to solve exciting problems.In this course, you will learn the fundamentals of how we instruct computers to solve problems. You will explore the architecture and mechanics of how computers operate and how you can translate realworld problems to computer programs that solve these problems.The concepts you learn will provide a foundation for your future endeavours in computing and, we hope, will begin to change the way you think about realworld problems.This course is an introductory course to the basics of Computer Programming and Computer Science. It is intended as an introduction to studying further in Computer Science or related fields. Topics include:Fundamental programming concepts, Introduction to Computer Science, The C programming language and use of a C compiler, Programming style, Program design and organisation concepts, Program testing and debugging"
COMP1521,Computer Systems Fundamentals,"This course introduces students to how computer systems are structured in terms of basic electronic components, how they are used to implement procedural programs, and how they are structured as a collection of software layers. It introduces students to lowlevel software layers such as operating systems, and introduces concurrency concepts. The goal is to give students a solid understanding of what happens when highlevel programs are executed, as a basis for further study in important areas of computing such as computer architecture, operating systems."
COMP1531,Software Engineering Fundamentals,"This course teaches students about software engineering principles via exposure to the important practice of building correct products in effectively functioning teams.You will be exposed to agile software practices, team collaboration and effective communication through implementing a group project based on agile software methodologies that require you to analyse, design, build and deploy a webbased application. This course is typically taken soon after completing COMP1511 but could be delayed and taken later. It provides essential background for the teamwork and project management required in many later courses."
COMP1911,Computing 1A,"From recent innovations in AI like selfdriving cars to humanoid robotics navigating complex environments, leapfrogs in battery technology to sequencing the human genome the world is benefiting and evolving thanks to computer systems. At the core of all these systems are computers executing instructions to solve exciting problems.In this course, you will learn the fundamentals of how we instruct computers to solve problems. You will explore the architecture and mechanics of how computers operate and how you can translate realworld problems to computer programs that solve these problems.The concepts you learn will provide a foundation for your future endeavours in computing and, we hope, will begin to change the way you think about realworld problems.This course is an introductory course to the basics of Computer Programming and Computer Science. It is intended as an introduction to studying further in Computer Science or related fields. Topics include:Fundamental programming concepts, Introduction to Computer Science, The C programming language and use of a C compiler, Programming style, Program design and organisation concepts, Program testing and debuggingAdditional Information:This course is taught within COMP1511."
COMP2041,Software Construction: Techniques and Tools,"This course is designed for students who have mastered the basics of programming. It aims to broaden your knowledge of techniques and tools for software construction. It covers: Unix filters, shell scripting and Python for programming, git for version control, docker for portable deployment, package managers for configuration and deployment. At the end of this course, you should be able to build moderatesized software systems and configure them so that others can download and deploy your work."
COMP2111,System Modelling and Design,"This course introduces rigorous and formal methods for modelling system behaviour. These methods support the modelling of abstract specifications and the refinement of abstract specifications through to concrete implementations. Consistency of formal development is verified by proof obligations and formal proof. The course will cover: specification, refinement, implementation, proof obligations, and proof. It reinforces, and builds on, prerequisite knowledge from MATH1081, especially set theory and predicate logic. The course will use casestudies and assignments to develop competence. The methods developed in this course are used in the SENG2011 workshops and in safetycritical industrial contexts."
COMP2121,Microprocessors and Interfacing,"Instruction Set Architecture ISA, Floating point number representation, computer arithmetic, assembly and machine language programming, machine language fundamentals; addressing modes; instruction repertoire, assembly language programming methodology, interrupts and IO interfacing hardware and software, serial communication, timers, analog input and output, converting analog signals to digital signals data acquisition, taking input from a variety of sensors and driving actuators, buses and memory system, low level device drivers."
COMP2511,Object-Oriented Design & Programming,"COMP2511 builds on the foundation of firstyear CSE courses, and begins to answer the questions: What does good software look like? And How do you build software that is flexible, reusable and maintainable. The course introduces students to the ObjectOriented Programming paradigm and explores how OOP attempts to solve the problem of good software design. Students explore fundamental Design Patterns in designing, writing and testing software, and how to apply these strategies to both theoretical and realworld problems. The course also teaches an appreciation for elegantly written code, problem solving and finding welldesigned solutions to problems that have longevity of software in mind."
COMP2521,Data Structures and Algorithms,"The aim of this course is to get you tothink like a computer scientist. This certainly sounds like a noble goal... But what does it really mean? How does ascientist, let alone a computer scientist, actually think?What many types of scientists try to do is understand natural systems and processes: a geologist, for example, tries to understand the structure of the earth; a biologist tries to understand living organisms; a chemist tries to understand materials and reactions, and so on.Computer scientists dont, as the name might suggest, simply try to understand the structure and behaviour of computers, but are more concerned with understanding software systems and the interaction between the software and the hardware on which it runs. Also, unlike other scientists, computer scientists frequently build the objects that they study.The goal of this course is to deepen your understanding of data structures and algorithms and how these can be employed effectively in the design of software systems. It is an important course in covering a range of core data structures and algorithms that will be used in context in later courses. You explore these ideas in lectures, tutorials, lab exercises, quizzes and assignments. Assessment involves lab exercises, quizzes, assignments and a final exam involving both practice and theory. At the end of the course, we want you to be a solid programmer, with knowledge of a range of useful data structures and programming techniques, and ready to continue with further specialised studies in computing.TopicsThis course provides an introduction to the structure, analysis and usage of a range of fundamental data types and the core algorithms that operate on them. Key topics are:Recursion, Analysis of algorithms, Abstract data types, Binary search trees, Balanced search trees, Graphs, Sorting algorithms, Heaps, Hashing, Tries"
COMP3121,Algorithm Design and Analysis,"How would you convince a colleague that your program is correct, and that theirs is flawed?How do you estimate how long a program will run for, and design test cases to find bugs?Br Can all problems be solved efficiently, or are some problems too hard?In this course, you will learn the building blocks to develop problemsolving software in fields as diverse as finance, logistics, policy and entertainment. You will apply techniques including divideandconquer, greedy selection and dynamic programming in order to develop accurate and fast algorithms in contexts such as graphs and strings. You will also develop the ability to think critically and communicate about algorithms in terms of correctness and efficiency.Join us to find out how you can become a better programmer without writing any code."
COMP3131,Programming Languages and Compilers,"This subject focusses on basic compiler techniques needed to implement programming languages in a virtual machine with emphasis on the compiler front end. By writing a compiler in Java to translate a variant of C into Java bytecode, you are also expected to gain a good understanding of important fundamental principles in objectoriented programming languages and develop further your programming and software engineering skills."
COMP3141,Software System Design and Implementation,"This course will present rigorous and formal methods for the design and implementation phases of software system development. Also considered are testing and reuse of designs. As far as possible, software tools that can assist the process will be used. The material will be presented using case studies, and students will be required to undertake a project."
COMP3151,Foundations of Concurrency,"Concurrency processes communication. Communication via shared variables vs message passing. Models of concurrency: true concurrency vs interleaving. Abstractions: atomicity, locks and barriers, semaphores, monitors, threads, RPC, rendezvous. Classical problems: mutual exclusion, dining philosophers, sleeping barber, termination detection, gravitational Nbody problem.Practical work: programming assignments and proving of program safety and liveness properties."
COMP3153,Algorithmic Verification,"It is virtually impossible to guarantee the correctness of a system, and in turn the absence of bugs by standard software engineering practice such as code review, systematic testing and good software design alone. The formal methods community has developed various rigorous, mathematically sound techniques and tools that allow the automatic analysis of systems and software. The application of these fully automatic techniques is typically called algorithmic verification. The course will describe several automatic verification techniques, the algorithms they are based on, and the tools that support them. We will discuss examples to which the techniques have been applied, and provide experience with the use of several tools."
COMP3161,Concepts of Programming Languages,"This course discusses and relates a range of programming language concepts and paradigms, including imperative, objectoriented, functional, concurrent amp; parallel programming. It covers the theoretical foundations syntax, operational, axiomatic and denotational semantics as well as practical development and implementation aspects dynamic and strong typing, polymorphism, overloading, automatic memory management, and concurrency. Due to the course topics, a variety of programming languages will be studied and used. Assignments will be in the programming language Haskell, but no previous knowledge of Haskell is assumed."
COMP3211,Computer Architecture,"Computer architecture plays a crucial role in defining and bridging the interface between hardware and software in a computer system. It serves as the foundation upon which both hardware and software components are designed and interact with each other. A study of computer architecture complements the study of programming language and algorithm, compiler, and operating system on the software side of the interface, and the study of embedded system, FPGA and VLSI design on the hardware side of the interface."
COMP3222,Digital Circuits and Systems,"This course teaches students the fundamentals of digital design.The course introduces the components of digital systems, explains how these are described in the VHDL hardware description language and familiarizes the student with the implementation of digital circuits using FPGA prototyping boards."
COMP3231,Operating Systems,"Operating System Organisation and services. Process management: scheduling, synchronisation and multiprocessors. Memory management: virtual memory, and paging. Storage management: file systems and IO. Case studies include: UNIX amp; Windows. Programming assignments. Assumed Knowledge: C"
COMP3311,Database Systems,"This course aims to explore in depth the practice of developing database applications and the theory behind relational database systems. It will also give a very brief overview of the technologies used in implementing database management systems and the past, present and future of database systems.Large data resources are critical to the functioning of just about every significant modern computer application. Hence, knowledge of how to manage them is clearly important to the IT industry. In the context of further study, COMP3311 also provides a foundation for further study in advanced database topics, such asa href""http:www.Handbook.Unsw.Edu.AuundergraduatecoursescurrentCOMP9312.Html"" target""blank"" rel""noopener noreferrer nofollow""COMP9312aGraph Data Analytics, anda href""http:www.Handbook.Unsw.Edu.AuundergraduatecoursescurrentCOMP9315.Html"" target""blank"" rel""noopener noreferrer nofollow""COMP9315aDatabase Systems Implementation. Database concepts are also relevant in courses such asa href""http:www.Handbook.Unsw.Edu.AuundergraduatecoursescurrentCOMP9319.Html"" target""blank"" rel""noopener noreferrer nofollow""COMP9319aWeb Data Compression and Search anda href""http:www.Handbook.Unsw.Edu.AuundergraduatecoursescurrentCOMP6714.Html"" target""blank"" rel""noopener noreferrer nofollow""COMP6714aInformation Retrieval and Web Search.By the end of this course, we want you to be capable of building highquality correct and efficient applications based on relational databases, to have a sound understanding of issues in managing relational database management systems, and an overview of how they work internally."
COMP3331,Computer Networks and Applications,"This course is an introductory course on computer networks aimed at students with a computer science electrical engineering background. You will focus on common paradigms and protocols used in present data communication. Through lectures, inclass activities, labs and assignments, you will learn the theory and application of:1 Medium access control, congestion control, flow control, and reliable transmission,2 Addressing and naming,3 Routing and switching,4 Widely used protocols such as Ethernet, IP, TCP, UDP, HTTP, etc.5 Specialpurpose networks including content delivery, peertopeer, and wireless networks, and6 Security threats and standard defensive techniquesThis is a combined undergraduate and postgraduate course.The corresponding postgraduate course code is COMP9331."
COMP3411,Artificial Intelligence,"Machine intelligence. Principles: knowledge representation, automated reasoning, machine learning. Tools: AI programming languages, control methods, search strategies, pattern matching. Applications: computer vision, speech recognition, natural language processing, expert systems, game playing, computeraided learning. Philosophical and psychological issues. Lab: logic programming assignments."
COMP3421,Computer Graphics,"In this course, you will delve into the fundamentals and practical aspects of Computer Graphics by working with game engines. You will gain knowledge and skills in developing 2D, 3D, and Virtual Realitybased graphical objects and environments using game engines including Unreal Engine and Unity. Additionally, you will understand computer graphics concepts, including lighting, reflection, static meshes, 2D Transforms, 3D Transforms, surface, texture maps, materials, cameras, object physical behaviors, collision detection, hierarchical modeling of objects, shaders, and rendering.The objectives of this course are to equip you with the necessary skills to work as a computer graphics expert in the industry, specifically in the development of optimal graphical interactive environments and game development. Through practical experience in computer graphics, you will also acquire the essential theoretical foundation that prepares you for a successful career in the industry."
